date,usd_per_gbp
2024-08-09,1.2737434078
2024-08-12,1.2769712696
2024-08-13,1.2791078659
2024-08-14,1.2845202429
2024-08-15,1.2861064066
2024-08-16,1.2914669674
2024-08-19,1.2952383187
2024-08-20,1.3010305890
2024-08-21,1.3031194682
2024-08-22,1.3108790601
2024-08-23,1.3124756588
2024-08-26,1.3188020556
2024-08-27,1.3219166726
2024-08-28,1.3208892269
2024-08-29,1.3172557173
2024-08-30,1.3179980980
2024-09-02,1.3133771878
2024-09-03,1.3123624903
2024-09-04,1.3116038363
2024-09-05,1.3160890913
2024-09-06,1.3171912258
2024-09-09,1.3089551354
2024-09-10,1.3090844360
2024-09-11,1.3088000000
2024-09-12,1.3042860526
2024-09-13,1.3117490382
2024-09-16,1.3201547260
2024-09-17,1.3216972401
2024-09-18,1.3207479964
2024-09-19,1.3288387550
2024-09-20,1.3307114766
2024-09-23,1.3313297732
2024-09-24,1.3377793800
2024-09-25,1.3381468686
2024-09-26,1.3370810759
2024-09-27,1.3388850224
2024-09-30,1.3401481872
2024-10-01,1.3325640378
2024-10-02,1.3292431083
2024-10-03,1.3101426571
2024-10-04,1.3171314265
2024-10-07,1.3086584523
2024-10-08,1.3108453293
2024-10-09,1.3084547409
2024-10-10,1.3063116889
2024-10-11,1.3067319754
2024-10-14,1.3046076615
2024-10-15,1.3080199148
2024-10-16,1.3033909455
2024-10-17,1.3020190522
2024-10-18,1.3042746348
2024-10-21,1.3026465822
2024-10-22,1.2984161267
2024-10-23,1.2949199019
2024-10-24,1.2980411008
2024-10-25,1.2986156098
2024-10-28,1.2988353944
2024-10-29,1.2977595760
2024-10-30,1.2963739886
2024-10-31,1.2992967416
2024-11-01,1.2958641872
2024-11-04,1.2971223963
2024-11-05,1.2984985701
2024-11-06,1.2851014744
2024-11-07,1.2965077839
2024-11-08,1.2948983026
2024-11-11,1.2882196420
2024-11-12,1.2817045935
2024-11-13,1.2742618057
2024-11-14,1.2666249790
2024-11-15,1.2681085615
2024-11-18,1.2628051699
2024-11-19,1.2647361247
2024-11-20,1.2667306308
2024-11-21,1.2640351615
2024-11-22,1.2513671053
2024-11-25,1.2574132870
2024-11-26,1.2604216579
2024-11-27,1.2627098321
2024-11-28,1.2666105971
2024-11-29,1.2693948681
2024-12-02,1.2674612174
2024-12-03,1.2646319310
2024-12-04,1.2666908125
2024-12-05,1.2729468599
2024-12-06,1.2770502685
2024-12-09,1.2762514341
2024-12-10,1.2751499001
2024-12-11,1.2742244537
2024-12-12,1.2727471248
2024-12-13,1.2665727394
2024-12-16,1.2656579661
2024-12-17,1.2700851805
2024-12-18,1.2719340766
2024-12-19,1.2608405604
2024-12-20,1.2523353221
2024-12-23,1.2522441111
2024-12-24,1.2553589759
2024-12-27,1.2557462273
2024-12-30,1.2590717300
2024-12-31,1.2529245761
